Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;;
01/04/2004;00.00.00;1,6;1143;106;6,3;825;96;986;86;1477;978;12,0;61,6;0,8593;;
01/04/2004;01.00.00;1,2;1044;100;5,1;770;85;1031;70;1425;944;11,5;63,9;0,8652;;
01/04/2004;02.00.00;1,1;1034;71;4,1;716;50;1085;55;1405;891;10,7;67,2;0,8630;;
01/04/2004;03.00.00;0,9;956;72;4,0;713;-200;1099;-200;1422;849;9,0;73,1;0,8394;;
01/04/2004;04.00.00;0,7;909;44;2,4;615;57;1237;49;1322;790;10,2;66,6;0,8299;;
01/04/2004;05.00.00;0,9;996;45;2,9;648;64;1176;50;1340;852;11,0;63,7;0,8325;;
01/04/2004;06.00.00;1,7;1154;134;7,4;876;153;1002;67;1561;987;9,6;68,8;0,8243;;
01/04/2004;07.00.00;4,2;1510;505;19,8;1291;342;675;94;1949;1435;9,5;69,6;0,8273;;
01/04/2004;08.00.00;6,2;1722;1042;31,9;1595;378;539;119;2439;1798;11,9;60,9;0,8455;;
01/04/2004;09.00.00;4,6;1512;737;21,0;1323;304;631;139;2001;1677;16,2;48,6;0,8892;;
01/04/2004;10.00.00;2,8;1258;375;11,7;1040;192;800;113;1701;1282;19,2;39,6;0,8693;;
01/04/2004;11.00.00;1,6;1094;124;6,8;850;130;970;88;1489;871;19,7;38,4;0,8743;;
01/04/2004;12.00.00;1,7;1129;137;7,4;875;106;974;73;1524;759;20,6;36,7;0,8797;;
01/04/2004;13.00.00;1,7;1125;179;8,6;924;102;937;73;1542;790;21,8;33,9;0,8771;;
01/04/2004;14.00.00;1,7;-200;222;-200,0;-200;99;-200;72;-200;-200;-200;-200;-200;;
01/04/2004;15.00.00;1,9;-200;197;-200,0;-200;108;-200;81;-200;-200;-200;-200;-200;;
01/04/2004;16.00.00;2,3;-200;319;-200,0;-200;131;-200;93;-200;-200;-200;-200;-200;;
01/04/2004;17.00.00;3,3;1308;388;16,4;1193;163;793;106;1193;1187;23,6;27,5;0,7913;;
01/04/2004;18.00.00;4,2;1529;589;21,2;1331;211;700;132;2028;1399;22,8;32,1;0,8814;;
01/04/2004;19.00.00;5,5;1592;840;25,0;1429;267;624;164;2089;1644;20,8;36,7;0,8878;;
01/04/2004;20.00.00;4,9;1536;655;20,2;1302;269;666;161;1922;1599;18,3;40,9;0,8493;;
01/04/2004;21.00.00;2,5;1192;254;10,8;1007;154;827;124;1604;1223;16,8;44,0;0,8341;;
01/04/2004;22.00.00;2;1186;188;9,9;976;127;844;113;1570;1200;15,8;48,0;0,8569;;
01/04/2004;23.00.00;2;1203;120;8,5;920;122;898;103;1529;1118;14,9;52,0;0,8757;;
02/04/2004;00.00.00;2;1139;157;8,0;899;126;921;104;1514;1067;14,1;54,4;0,8701;;
02/04/2004;01.00.00;1,3;1072;88;5,6;795;84;986;93;1442;1048;13,3;58,8;0,8922;;
02/04/2004;02.00.00;1;954;68;3,2;667;58;1180;60;1350;718;13,3;60,9;0,9229;;
02/04/2004;03.00.00;0,9;951;57;3,3;673;-200;1137;-200;1381;797;11,8;64,3;0,8869;;
02/04/2004;04.00.00;-200;926;36;2,8;638;37;1195;52;1342;749;11,2;65,9;0,8775;;
02/04/2004;05.00.00;0,7;968;51;2,6;628;56;1197;66;1372;737;11,3;72,9;0,9738;;
02/04/2004;06.00.00;1,1;1067;93;4,3;727;91;1055;82;1448;903;11,4;71,8;0,9671;;
02/04/2004;07.00.00;2,6;1386;284;13,0;1083;159;798;109;1833;1159;11,9;73,7;1,0254;;
